  129.348     1.99793e-08
  146.739     3.7575e-08
  168.478     4.98921e-08
  189.13     8.50836e-08
  214.13     1.34352e-07
  231.522     2.15292e-07
  251.087     3.41982e-07
  271.739     4.79229e-07
  289.13     5.67208e-07
  309.783     5.35536e-07
  330.435     4.29961e-07
  351.087     3.12069e-07
  370.652     2.29369e-07
  388.043     1.62505e-07
  408.696     1.23794e-07
  430.435     8.50836e-08
  450     6.74879e-08
  470.652     3.93346e-08
  491.304     4.10942e-08
  511.957     2.87772e-08
  530.435     1.99793e-08
  554.348     1.64601e-08
  569.565     2.17388e-08
  590.217     7.66221e-09
  614.13     9.42179e-09
  628.261     9.42179e-09
  650     5.90264e-09
  673.913     5.90264e-09
  691.304     4.14306e-09
